Timestamp,Ax,Ay,Az,Rx,Ry,Rz,HR_value
9,-0.702,1.1673,-0.101,0.7697,-0.4524,0.7838,0
9,-0.8051,0.9581,-0.0755,-0.0349,-0.2093,0.4786,0
9,-0.9122,0.552,-0.2275,-0.0349,-0.2093,0.4786,0
9,-0.8663,0.4112,-0.1796,-0.4982,-0.0228,0.2529,0
9,-0.8663,0.4112,-0.1796,-0.1155,-0.0643,0.218,0
9,-1.0204,0.4041,-0.0816,0.2987,-0.2049,0.3052,0
9,-0.852,0.4734,0.0847,0.4414,-0.2562,0.4143,0
9,-0.9796,0.5734,0.0591,0.3565,-0.0959,0.388,0
9,-0.8265,0.45,-0.0347,0.2474,-0.0446,0.3227,0
9,-0.8296,0.5,-0.0704,0.4219,-0.0621,0.2823,0
9,-0.7357,0.5867,-0.0193,0.532,-0.1112,0.2878,0
9,-0.7153,0.652,0.0031,0.3729,-0.0457,0.2823,0
9,-0.6959,0.5061,-0.0684,0.3729,-0.0457,0.2823,0
9,-0.6959,0.5061,-0.0684,0.1428,0.0174,0.2812,0
9,-0.6755,0.4601,-0.0734,0.1732,0.0032,0.2966,0
9,-0.6449,0.4908,-0.0316,0.3128,-0.0469,0.2922,0
9,-0.5643,0.5367,0.0347,0.2911,-0.0162,0.2289,0
9,-0.55,0.4826,0.0316,0.1503,0.0631,0.157,0
9,-0.5143,0.3898,-0.0071,0.0925,0.1003,0.0915,0
9,-0.4714,0.3602,-0.0163,0.1907,0.086,0.0349,0
9,-0.4745,0.3714,-0.0275,0.2976,0.0904,-0.0534,0
9,-0.4551,0.3846,-0.0316,0.3008,0.1144,-0.1515,0
9,-0.4601,0.3714,-0.0714,0.3008,0.1144,-0.1515,0
9,-0.4601,0.3714,-0.0714,0.2529,0.1515,-0.2268,0
9,-0.4897,0.3469,-0.1255,0.2234,0.1744,-0.2737,0
9,-0.5071,0.3928,-0.1346,0.242,0.1732,-0.3271,0
9,-0.5571,0.4428,-0.1744,0.2966,0.1613,-0.412,0
9,-0.6592,0.5357,-0.202,0.3445,0.1438,-0.5112,0
9,-0.7306,0.551,-0.2612,0.3456,0.1406,-0.5669,0
9,-0.7938,0.5693,-0.3,0.3183,0.157,-0.5713,0
9,-0.9296,0.6602,-0.4092,0.3073,0.1591,-0.5233,0
9,-1.0173,0.7265,-0.451,0.3838,0.1373,-0.4938,0
9,-1.1724,0.8214,-0.4847,0.3838,0.1373,-0.4938,0
9,-1.3683,0.9235,-0.5367,0.556,0.11,-0.4818,0
9,-1.3683,0.9235,-0.5367,0.6911,0.1112,-0.4307,0
9,-1.5255,1.0673,-0.5898,0.652,0.1776,-0.2844,0
9,-1.2918,1.0143,-0.55,0.412,0.3128,-0.0349,0
9,-1.2653,0.9724,-0.5612,0.0948,0.5418,0.2758,0
9,-1.1296,0.7847,-0.6153,-0.2802,0.726,0.5484,0
9,-1.0939,0.6979,-0.5816,-0.483,0.7741,0.6737,0
9,-1.0479,0.6255,-0.5561,-0.4721,0.6846,0.6442,0
9,-0.9275,0.6153,-0.3806,-0.387,0.5614,0.5822,0
9,-0.8826,0.5877,-0.3296,-0.4034,0.5156,0.5221,0
9,-0.8663,0.5286,-0.2898,-0.4034,0.5156,0.5221,0
9,-0.8714,0.4592,-0.2704,-0.4775,0.5102,0.4578,0
9,-0.8714,0.4592,-0.2704,-0.4307,0.4797,0.4044,0
9,-0.8959,0.4061,-0.2255,-0.2605,0.412,0.3848,0
9,-0.8928,0.4081,-0.2183,-0.1232,0.35,0.387,0
9,-0.8877,0.4,-0.2326,-0.061,0.3193,0.3946,0
9,-0.85,0.3846,-0.2592,-0.0087,0.2747,0.4077,0
9,-0.8255,0.4061,-0.2643,0.0643,0.2278,0.3826,0
9,-0.7949,0.4285,-0.2786,0.1089,0.1907,0.2899,0
9,-0.7438,0.452,-0.2693,0.1089,0.1907,0.2899,0
9,-0.7347,0.4428,-0.3193,0.1003,0.1646,0.157,0
9,-0.7081,0.4122,-0.3265,0.049,0.1449,0.0108,0
9,-0.7081,0.4122,-0.3265,0.0065,0.1144,-0.1155,0
9,-0.6857,0.3898,-0.3448,0.0108,0.0969,-0.194,0
9,-0.6683,0.403,-0.3612,-0.0021,0.0751,-0.218,0
9,-0.6245,0.4092,-0.3296,-0.0469,0.0446,-0.2115,0
9,-0.6387,0.401,-0.3489,-0.1003,0.0185,-0.2093,0
9,-0.6214,0.3755,-0.3326,-0.1471,-0.0065,-0.2016,0
9,-0.6082,0.3541,-0.3255,-0.2039,-0.0272,-0.2049,0
9,-0.602,0.3296,-0.3173,-0.2039,-0.0272,-0.2049,0
9,-0.602,0.3296,-0.3173,-0.2693,-0.0425,-0.218,0
9,-0.5673,0.2704,-0.303,-0.3314,-0.0511,-0.2256,0
9,-0.5673,0.2704,-0.303,-0.3706,-0.0643,-0.23,0
9,-0.5591,0.252,-0.2949,-0.3859,-0.085,-0.2289,0
9,-0.5295,0.2397,-0.2755,-0.3783,-0.1079,-0.2365,0
9,-0.4949,0.2592,-0.2397,-0.3695,-0.1133,-0.2878,0
9,-0.5061,0.2581,-0.2388,-0.3193,-0.0784,-0.3271,0
9,-0.5469,0.2755,-0.2183,-0.2409,-0.024,-0.3521,0
9,-0.5887,0.2775,-0.2296,-0.1896,0.0675,-0.3717,0
10,-0.6163,0.2857,-0.2234,-0.1493,0.1602,-0.3848,0
10,-0.6377,0.2928,-0.2194,-0.0992,0.2268,-0.3946,0
10,-0.8091,0.4418,-0.0163,-0.0818,0.242,-0.4012,0
10,-0.7122,0.2632,-0.3152,-0.0818,0.242,-0.4012,0
10,-0.4653,0.3734,-0.1234,-0.2213,-0.0108,-0.3815,0
10,-0.4653,0.3734,-0.1234,-0.2823,-0.182,-0.3205,0
10,-0.5632,0.5786,-0.199,-0.2093,-0.1646,-0.4775,0
10,-0.5612,0.6847,-0.1775,0.0206,-0.1318,-0.7827,0
10,-0.9673,1.0224,-0.1826,0.4448,-0.2409,-1.0793,0
10,-1.5245,1.401,-0.1357,0.9408,-0.5679,-1.3529,0
10,1.8184,1.5663,-0.2938,1.2167,-0.4601,-1.6364,0
10,1.8143,1.4306,-0.2918,0.9626,-0.4372,-1.2821,0
10,-1.7347,1.3112,-0.2061,0.9626,-0.4372,-1.2821,0
10,-1.4428,1.0245,-0.4377,0.2758,-0.1852,-0.1623,0
10,-1.351,0.7979,-0.4622,-0.6356,0.23,0.9027,0
10,-1.351,0.7979,-0.4622,-1.4435,0.4643,1.4805,0
10,-1.4132,0.8112,-0.5234,-1.3922,0.3489,1.6986,0
10,-1.0336,1.1581,-0.1744,-0.9114,0.0511,1.5677,0
10,-0.9132,1.1796,0.002,-0.7664,-0.0065,1.3388,0
10,-0.9438,0.9581,-0.0428,-0.9943,0.1155,1.3181,0
10,-0.8918,0.7949,0.1449,-1.0128,0.0937,1.4936,0
